Name,log(Md),log(Md_lerr),log(Md_uerr),log(MH2),log(MH2_lerr),log(MH2_uerr),log(MHI),log(MHI_lerr),log(MHI_uerr),log(Mbulge),log(Mbulge_lerr),log(Mbulge_uerr),Vc,Vc_err,RChi2,MCMC_flag
bin_0,9.35441186502503,9.21888712383923,9.48275975232728,9.22898973166451,9.19388991482546,9.26223080112954,10.9877151039031,10.9182778635264,11.0610350800127,7.23688014970903,6.38958963471682,8.07339739211187,82.4488213917,11.8875257969,1.66865705782249,ok
bin_1,9.64017295692859,8.92980206396579,9.98877434545293,9.27988067438387,9.0959003323989,9.37016562737462,10.8099971730997,10.6214010152709,11.1943135454849,8.86301510705204,7.72529963692126,9.28636134739702,95.6089904651,4.8960933797,1.34604770871397,ok
bin_2,9.2993079803161,9.04203503971329,9.80331713486289,9.26748907064995,9.20085745037316,9.39802338383152,11.0702975506557,10.7976245401999,11.2094842828612,9.03250317905753,8.03935759683653,9.33829100532759,114.5109272814,4.5708841772,1.97206037892471,ok
bin_3,10.0284593189269,9.4379279716001,10.1306554035011,9.48224631441635,9.32930344990666,9.50871427752653,10.7017337235335,10.6464448189843,11.0212159368852,8.98830317837664,8.04995283365386,9.4277365043348,127.227034155,4.3103931923,1.21092164496737,ok
bin_4,9.95971633043471,9.38887612444763,10.1593948686406,9.4172006873683,9.26935766992956,9.46891582112464,10.6916824872792,10.5836547904708,11.0005116346301,8.47863711151914,6.98054086595384,9.29087939908989,139.1741997805,3.8160555862,1.74425632071126,ok
bin_5,9.86224519568518,9.18225649983627,10.0916067967702,9.46371117894887,9.28759958140521,9.52311398700853,10.8161698866594,10.692083413851,11.1840492457948,8.05224484359137,6.80220170224397,9.14736448221681,153.4344831656,3.4702286278,1.35069609643006,ok
bin_6,10.3028204728448,10.0657049052526,10.4085266086321,9.51143895773796,9.45002793478118,9.53881599585246,10.5114374437208,10.4542495732054,10.6397188748378,8.05342463675442,6.81836067375443,8.92258302157117,160.1391780532,2.3001040516,1.37340991166209,ok
bin_7,10.1819778557719,9.65408836014737,10.3610908412614,9.56517023077912,9.42845110152229,9.61155905195797,10.6618428104203,10.5649412432075,10.947435277663,8.48730083699865,6.99050024487347,9.34941565720225,167.2575194907,1.9055453498,1.24056362028844,ok
bin_8,9.84816230010982,9.3568761116134,10.1819368429151,9.40632089086593,9.27908172345708,9.49276581018837,10.7700459150367,10.589471200115,11.035835698425,8.42626077836661,6.94232854032012,9.30172462242973,175.5177006417,2.9355539817,1.60232836517916,ok
bin_9,10.1902799265405,9.95511786169843,10.3434069787528,9.51174359989084,9.45083851841841,9.55140227356715,10.6017745229171,10.5189315548236,10.7289990933183,9.29240312724554,7.4192612812008,9.6590006731722,185.0942963684,2.6914875295,1.28001780486637,ok
bin_10,10.3006041769023,10.1078225567981,10.4144814112028,9.55717604484034,9.50724715734433,9.58666933168312,10.5589475675771,10.4973390669795,10.6632439761645,8.92301645310104,7.05477334466026,9.68030226613146,193.3501931045,2.1245925808,1.42130714785922,ok
bin_11,10.2095640942974,9.81470819128663,10.5572605361279,9.51240197209497,9.41013747225361,9.60245255117787,10.5870055609157,10.3988989865342,10.800625783483,7.72836522371611,6.55228475046241,8.74234125260177,205.4926920616,5.7994273596,1.45456384712767,ok
bin_12,10.5423548945878,9.55123401858143,10.7812711142057,9.73126491982517,9.4745725925881,9.79314229715933,10.5396358684136,10.4103802700534,11.0758402419816,8.69087113537488,7.12818754504877,9.66163357046523,220.5201039535,6.6495402368,1.67898562715206,ok
bin_13,10.436591476172,10.0686499899436,10.6702169000893,9.50168465379233,9.40639077120597,9.56219175763694,10.3946663371134,10.2682731018241,10.5937256435098,8.02756953689662,6.71477312728055,9.26325228953939,258.0268096943,9.5852497046,1.28430054046332,ok
bin_14,10.7776559302804,10.4248649421145,10.911840162191,9.63528874947566,9.54391872390876,9.67004138520503,10.25541886951,10.1828241197109,10.4462816344758,9.18822212479382,7.2603629517293,10.01616353992,278.2620851085,20.385329193,1.24136435255209,ok
bin_15,10.936397394923,10.7508393719383,11.0967369724311,9.88331217859241,9.83525414459218,9.92483883825134,10.3764491269127,10.2897041245651,10.4768375113002,10.1228120055101,7.67941119485638,10.3798218072067,339.176508037,0.2037422561,1.48516954685829,ok
